n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
367            0.01            3.67             inf             inf       -nan(ind)             inf               0               0               0               0
368            0.01            3.68             inf             inf       -nan(ind)             inf               0               0               0               0
369            0.01            3.69             inf             inf       -nan(ind)             inf               0               0               0               0
370            0.01             3.7             inf             inf       -nan(ind)             inf               0               0               0               0
371            0.01            3.71             inf             inf       -nan(ind)             inf               0               0               0               0
372            0.01            3.72             inf             inf       -nan(ind)             inf               0               0               0               0
373            0.01            3.73             inf             inf       -nan(ind)             inf               0               0               0               0
374            0.01            3.74             inf             inf       -nan(ind)             inf               0               0               0               0
375            0.01            3.75             inf             inf       -nan(ind)             inf               0               0               0               0
376            0.01            3.76             inf             inf       -nan(ind)             inf               0               0               0               0
377            0.01            3.77             inf             inf       -nan(ind)             inf               0               0               0               0
378            0.01            3.78             inf             inf       -nan(ind)             inf               0               0               0               0
379            0.01            3.79             inf             inf       -nan(ind)             inf               0               0               0               0
380            0.01             3.8             inf             inf       -nan(ind)             inf               0               0               0               0
381            0.01            3.81             inf             inf       -nan(ind)             inf               0               0               0               0
382            0.01            3.82             inf             inf       -nan(ind)             inf               0               0               0               0
383            0.01            3.83             inf             inf       -nan(ind)             inf               0               0               0               0
384            0.01            3.84             inf             inf       -nan(ind)             inf               0               0               0               0
385            0.01            3.85             inf             inf       -nan(ind)             inf               0               0               0               0
386            0.01            3.86             inf             inf       -nan(ind)             inf               0               0               0               0
387            0.01            3.87             inf             inf       -nan(ind)             inf               0               0               0               0
388            0.01            3.88             inf             inf       -nan(ind)             inf               0               0               0               0
389            0.01            3.89             inf             inf       -nan(ind)             inf               0               0               0               0
390            0.01             3.9             inf             inf       -nan(ind)             inf               0               0               0               0
391            0.01            3.91             inf             inf       -nan(ind)             inf               0               0               0               0
392            0.01            3.92             inf             inf       -nan(ind)             inf               0               0               0               0
393            0.01            3.93             inf             inf       -nan(ind)             inf               0               0               0               0
394            0.01            3.94             inf             inf       -nan(ind)             inf               0               0               0               0
395            0.01            3.95             inf             inf       -nan(ind)             inf               0               0               0               0
396            0.01            3.96             inf             inf       -nan(ind)             inf               0               0               0               0
397            0.01            3.97             inf             inf       -nan(ind)             inf               0               0               0               0
398            0.01            3.98             inf             inf       -nan(ind)             inf               0               0               0               0
399            0.01            3.99             inf             inf       -nan(ind)             inf               0               0               0               0
400            0.01               4             inf             inf       -nan(ind)             inf               0               0               0               0
401            0.01            4.01             inf             inf       -nan(ind)             inf               0               0               0               0
402            0.01            4.02             inf             inf       -nan(ind)             inf               0               0               0               0
403            0.01            4.03             inf             inf       -nan(ind)             inf               0               0               0               0
404            0.01            4.04             inf             inf       -nan(ind)             inf               0               0               0               0
405            0.01            4.05             inf             inf       -nan(ind)             inf               0               0               0               0
406            0.01            4.06             inf             inf       -nan(ind)             inf               0               0               0               0
407            0.01            4.07             inf             inf       -nan(ind)             inf               0               0               0               0
408            0.01            4.08             inf             inf       -nan(ind)             inf               0               0               0               0
409            0.01            4.09             inf             inf       -nan(ind)             inf               0               0               0               0
410            0.01             4.1             inf             inf       -nan(ind)             inf               0               0               0               0
411            0.01            4.11             inf             inf       -nan(ind)             inf               0               0               0               0
412            0.01            4.12             inf             inf       -nan(ind)             inf               0               0               0               0
413            0.01            4.13             inf             inf       -nan(ind)             inf               0               0               0               0
414            0.01            4.14             inf             inf       -nan(ind)             inf               0               0               0               0
415            0.01            4.15             inf             inf       -nan(ind)             inf               0               0               0               0
416            0.01            4.16             inf             inf       -nan(ind)             inf               0               0               0               0
417            0.01            4.17             inf             inf       -nan(ind)             inf               0               0               0               0
418            0.01            4.18             inf             inf       -nan(ind)             inf               0               0               0               0
419            0.01            4.19             inf             inf       -nan(ind)             inf               0               0               0               0
420            0.01             4.2             inf             inf       -nan(ind)             inf               0               0               0               0
421            0.01            4.21             inf             inf       -nan(ind)             inf               0               0               0               0
422            0.01            4.22             inf             inf       -nan(ind)             inf               0               0               0               0
423            0.01            4.23             inf             inf       -nan(ind)             inf               0               0               0               0
424            0.01            4.24             inf             inf       -nan(ind)             inf               0               0               0               0
425            0.01            4.25             inf             inf       -nan(ind)             inf               0               0               0               0
426            0.01            4.26             inf             inf       -nan(ind)             inf               0               0               0               0
427            0.01            4.27             inf             inf       -nan(ind)             inf               0               0               0               0
428            0.01            4.28             inf             inf       -nan(ind)             inf               0               0               0               0
429            0.01            4.29             inf             inf       -nan(ind)             inf               0               0               0               0
430            0.01             4.3             inf             inf       -nan(ind)             inf               0               0               0               0
431            0.01            4.31             inf             inf       -nan(ind)             inf               0               0               0               0
432            0.01            4.32             inf             inf       -nan(ind)             inf               0               0               0               0
433            0.01            4.33             inf             inf       -nan(ind)             inf               0               0               0               0
434            0.01            4.34             inf             inf       -nan(ind)             inf               0               0               0               0
435            0.01            4.35             inf             inf       -nan(ind)             inf               0               0               0               0
436            0.01            4.36             inf             inf       -nan(ind)             inf               0               0               0               0
437            0.01            4.37             inf             inf       -nan(ind)             inf               0               0               0               0
438            0.01            4.38             inf             inf       -nan(ind)             inf               0               0               0               0
439            0.01            4.39             inf             inf       -nan(ind)             inf               0               0               0               0
440            0.01             4.4             inf             inf       -nan(ind)             inf               0               0               0               0
441            0.01            4.41             inf             inf       -nan(ind)             inf               0               0               0               0
442            0.01            4.42             inf             inf       -nan(ind)             inf               0               0               0               0
443            0.01            4.43             inf             inf       -nan(ind)             inf               0               0               0               0
444            0.01            4.44             inf             inf       -nan(ind)             inf               0               0               0               0
445            0.01            4.45             inf             inf       -nan(ind)             inf               0               0               0               0
446            0.01            4.46             inf             inf       -nan(ind)             inf               0               0               0               0
447            0.01            4.47             inf             inf       -nan(ind)             inf               0               0               0               0
448            0.01            4.48             inf             inf       -nan(ind)             inf               0               0               0               0
449            0.01            4.49             inf             inf       -nan(ind)             inf               0               0               0               0
450            0.01             4.5             inf             inf       -nan(ind)             inf               0               0               0               0
451            0.01            4.51             inf             inf       -nan(ind)             inf               0               0               0               0
452            0.01            4.52             inf             inf       -nan(ind)             inf               0               0               0               0
453            0.01            4.53             inf             inf       -nan(ind)             inf               0               0               0               0
454            0.01            4.54             inf             inf       -nan(ind)             inf               0               0               0               0
455            0.01            4.55             inf             inf       -nan(ind)             inf               0               0               0               0
456            0.01            4.56             inf             inf       -nan(ind)             inf               0               0               0               0
457            0.01            4.57             inf             inf       -nan(ind)             inf               0               0               0               0
458            0.01            4.58             inf             inf       -nan(ind)             inf               0               0               0               0
459            0.01            4.59             inf             inf       -nan(ind)             inf               0               0               0               0
460            0.01             4.6             inf             inf       -nan(ind)             inf               0               0               0               0
461            0.01            4.61             inf             inf       -nan(ind)             inf               0               0               0               0
462            0.01            4.62             inf             inf       -nan(ind)             inf               0               0               0               0
463            0.01            4.63             inf             inf       -nan(ind)             inf               0               0               0               0
464            0.01            4.64             inf             inf       -nan(ind)             inf               0               0               0               0
465            0.01            4.65             inf             inf       -nan(ind)             inf               0               0               0               0
466            0.01            4.66             inf             inf       -nan(ind)             inf               0               0               0               0
467            0.01            4.67             inf             inf       -nan(ind)             inf               0               0               0               0
468            0.01            4.68             inf             inf       -nan(ind)             inf               0               0               0               0
469            0.01            4.69             inf             inf       -nan(ind)             inf               0               0               0               0
470            0.01             4.7             inf             inf       -nan(ind)             inf               0               0               0               0
471            0.01            4.71             inf             inf       -nan(ind)             inf               0               0               0               0
472            0.01            4.72             inf             inf       -nan(ind)             inf               0               0               0               0
473            0.01            4.73             inf             inf       -nan(ind)             inf               0               0               0               0
474            0.01            4.74             inf             inf       -nan(ind)             inf               0               0               0               0
475            0.01            4.75             inf             inf       -nan(ind)             inf               0               0               0               0
476            0.01            4.76             inf             inf       -nan(ind)             inf               0               0               0               0
477            0.01            4.77             inf             inf       -nan(ind)             inf               0               0               0               0
478            0.01            4.78             inf             inf       -nan(ind)             inf               0               0               0               0
479            0.01            4.79             inf             inf       -nan(ind)             inf               0               0               0               0
480            0.01             4.8             inf             inf       -nan(ind)             inf               0               0               0               0
481            0.01            4.81             inf             inf       -nan(ind)             inf               0               0               0               0
482            0.01            4.82             inf             inf       -nan(ind)             inf               0               0               0               0
483            0.01            4.83             inf             inf       -nan(ind)             inf               0               0               0               0
484            0.01            4.84             inf             inf       -nan(ind)             inf               0               0               0               0
485            0.01            4.85             inf             inf       -nan(ind)             inf               0               0               0               0
486            0.01            4.86             inf             inf       -nan(ind)             inf               0               0               0               0
487            0.01            4.87             inf             inf       -nan(ind)             inf               0               0               0               0
488            0.01            4.88             inf             inf       -nan(ind)             inf               0               0               0               0
489            0.01            4.89             inf             inf       -nan(ind)             inf               0               0               0               0
490            0.01             4.9             inf             inf       -nan(ind)             inf               0               0               0               0
491            0.01            4.91             inf             inf       -nan(ind)             inf               0               0               0               0
492            0.01            4.92             inf             inf       -nan(ind)             inf               0               0               0               0
493            0.01            4.93             inf             inf       -nan(ind)             inf               0               0               0               0
494            0.01            4.94             inf             inf       -nan(ind)             inf               0               0               0               0
495            0.01            4.95             inf             inf       -nan(ind)             inf               0               0               0               0
496            0.01            4.96             inf             inf       -nan(ind)             inf               0               0               0               0
497            0.01            4.97             inf             inf       -nan(ind)             inf               0               0               0               0
498            0.01            4.98             inf             inf       -nan(ind)             inf               0               0               0               0
499            0.01            4.99             inf             inf       -nan(ind)             inf               0               0               0               0
500            0.01               5             inf             inf       -nan(ind)             inf               0               0               0               0
501            0.01            5.01             inf             inf       -nan(ind)             inf               0               0               0               0
502            0.01            5.02             inf             inf       -nan(ind)             inf               0               0               0               0
503            0.01            5.03             inf             inf       -nan(ind)             inf               0               0               0               0
504            0.01            5.04             inf             inf       -nan(ind)             inf               0               0               0               0
505            0.01            5.05             inf             inf       -nan(ind)             inf               0               0               0               0
506            0.01            5.06             inf             inf       -nan(ind)             inf               0               0               0               0
507            0.01            5.07             inf             inf       -nan(ind)             inf               0               0               0               0
508            0.01            5.08             inf             inf       -nan(ind)             inf               0               0               0               0
509            0.01            5.09             inf             inf       -nan(ind)             inf               0               0               0               0
510            0.01             5.1             inf             inf       -nan(ind)             inf               0               0               0               0
511            0.01            5.11             inf             inf       -nan(ind)             inf               0               0               0               0
512            0.01            5.12             inf             inf       -nan(ind)             inf               0               0               0               0
513            0.01            5.13             inf             inf       -nan(ind)             inf               0               0               0               0
514            0.01            5.14             inf             inf       -nan(ind)             inf               0               0               0               0
515            0.01            5.15             inf             inf       -nan(ind)             inf               0               0               0               0
516            0.01            5.16             inf             inf       -nan(ind)             inf               0               0               0               0
517            0.01            5.17             inf             inf       -nan(ind)             inf               0               0               0               0
518            0.01            5.18             inf             inf       -nan(ind)             inf               0               0               0               0
519            0.01            5.19             inf             inf       -nan(ind)             inf               0               0               0               0
520            0.01             5.2             inf             inf       -nan(ind)             inf               0               0               0               0
521            0.01            5.21             inf             inf       -nan(ind)             inf               0               0               0               0
522            0.01            5.22             inf             inf       -nan(ind)             inf               0               0               0               0
523            0.01            5.23             inf             inf       -nan(ind)             inf               0               0               0               0
524            0.01            5.24             inf             inf       -nan(ind)             inf               0               0               0               0
525            0.01            5.25             inf             inf       -nan(ind)             inf               0               0               0               0
526            0.01            5.26             inf             inf       -nan(ind)             inf               0               0               0               0
527            0.01            5.27             inf             inf       -nan(ind)             inf               0               0               0               0
528            0.01            5.28             inf             inf       -nan(ind)             inf               0               0               0               0
529            0.01            5.29             inf             inf       -nan(ind)             inf               0               0               0               0
530            0.01             5.3             inf             inf       -nan(ind)             inf               0               0               0               0
531            0.01            5.31             inf             inf       -nan(ind)             inf               0               0               0               0
532            0.01            5.32             inf             inf       -nan(ind)             inf               0               0               0               0
533            0.01            5.33             inf             inf       -nan(ind)             inf               0               0               0               0
534            0.01            5.34             inf             inf       -nan(ind)             inf               0               0               0               0
535            0.01            5.35             inf             inf       -nan(ind)             inf               0               0               0               0
536            0.01            5.36             inf             inf       -nan(ind)             inf               0               0               0               0
537            0.01            5.37             inf             inf       -nan(ind)             inf               0               0               0               0
538            0.01            5.38             inf             inf       -nan(ind)             inf               0               0               0               0
539            0.01            5.39             inf             inf       -nan(ind)             inf               0               0               0               0
540            0.01             5.4             inf             inf       -nan(ind)             inf               0               0               0               0
541            0.01            5.41             inf             inf       -nan(ind)             inf               0               0               0               0
542            0.01            5.42             inf             inf       -nan(ind)             inf               0               0               0               0
543            0.01            5.43             inf             inf       -nan(ind)             inf               0               0               0               0
544            0.01            5.44             inf             inf       -nan(ind)             inf               0               0               0               0
545            0.01            5.45             inf             inf       -nan(ind)             inf               0               0               0               0
546            0.01            5.46             inf             inf       -nan(ind)             inf               0               0               0               0
547            0.01            5.47             inf             inf       -nan(ind)             inf               0               0               0               0
548            0.01            5.48             inf             inf       -nan(ind)             inf               0               0               0               0
549            0.01            5.49             inf             inf       -nan(ind)             inf               0               0               0               0
550            0.01             5.5             inf             inf       -nan(ind)             inf               0               0               0               0
551            0.01            5.51             inf             inf       -nan(ind)             inf               0               0               0               0
552            0.01            5.52             inf             inf       -nan(ind)             inf               0               0               0               0
553            0.01            5.53             inf             inf       -nan(ind)             inf               0               0               0               0
554            0.01            5.54             inf             inf       -nan(ind)             inf               0               0               0               0
555            0.01            5.55             inf             inf       -nan(ind)             inf               0               0               0               0
556            0.01            5.56             inf             inf       -nan(ind)             inf               0               0               0               0
557            0.01            5.57             inf             inf       -nan(ind)             inf               0               0               0               0
558            0.01            5.58             inf             inf       -nan(ind)             inf               0               0               0               0
559            0.01            5.59             inf             inf       -nan(ind)             inf               0               0               0               0
560            0.01             5.6             inf             inf       -nan(ind)             inf               0               0               0               0
561            0.01            5.61             inf             inf       -nan(ind)             inf               0               0               0               0
562            0.01            5.62             inf             inf       -nan(ind)             inf               0               0               0               0
563            0.01            5.63             inf             inf       -nan(ind)             inf               0               0               0               0
564            0.01            5.64             inf             inf       -nan(ind)             inf               0               0               0               0
565            0.01            5.65             inf             inf       -nan(ind)             inf               0               0               0               0
566            0.01            5.66             inf             inf       -nan(ind)             inf               0               0               0               0
567            0.01            5.67             inf             inf       -nan(ind)             inf               0               0               0               0
568            0.01            5.68             inf             inf       -nan(ind)             inf               0               0               0               0
569            0.01            5.69             inf             inf       -nan(ind)             inf               0               0               0               0
570            0.01             5.7             inf             inf       -nan(ind)             inf               0               0               0               0
571            0.01            5.71             inf             inf       -nan(ind)             inf               0               0               0               0
572            0.01            5.72             inf             inf       -nan(ind)             inf               0               0               0               0
573            0.01            5.73             inf             inf       -nan(ind)             inf               0               0               0               0
574            0.01            5.74             inf             inf       -nan(ind)             inf               0               0               0               0
575            0.01            5.75             inf             inf       -nan(ind)             inf               0               0               0               0
576            0.01            5.76             inf             inf       -nan(ind)             inf               0               0               0               0
577            0.01            5.77             inf             inf       -nan(ind)             inf               0               0               0               0
578            0.01            5.78             inf             inf       -nan(ind)             inf               0               0               0               0
579            0.01            5.79             inf             inf       -nan(ind)             inf               0               0               0               0
580            0.01             5.8             inf             inf       -nan(ind)             inf               0               0               0               0
581            0.01            5.81             inf             inf       -nan(ind)             inf               0               0               0               0
582            0.01            5.82             inf             inf       -nan(ind)             inf               0               0               0               0
583            0.01            5.83             inf             inf       -nan(ind)             inf               0               0               0               0
584            0.01            5.84             inf             inf       -nan(ind)             inf               0               0               0               0
585            0.01            5.85             inf             inf       -nan(ind)             inf               0               0               0               0
586            0.01            5.86             inf             inf       -nan(ind)             inf               0               0               0               0
587            0.01            5.87             inf             inf       -nan(ind)             inf               0               0               0               0
588            0.01            5.88             inf             inf       -nan(ind)             inf               0               0               0               0
589            0.01            5.89             inf             inf       -nan(ind)             inf               0               0               0               0
590            0.01             5.9             inf             inf       -nan(ind)             inf               0               0               0               0
591            0.01            5.91             inf             inf       -nan(ind)             inf               0               0               0               0
592            0.01            5.92             inf             inf       -nan(ind)             inf               0               0               0               0
593            0.01            5.93             inf             inf       -nan(ind)             inf               0               0               0               0
594            0.01            5.94             inf             inf       -nan(ind)             inf               0               0               0               0
595            0.01            5.95             inf             inf       -nan(ind)             inf               0               0               0               0
596            0.01            5.96             inf             inf       -nan(ind)             inf               0               0               0               0
597            0.01            5.97             inf             inf       -nan(ind)             inf               0               0               0               0
598            0.01            5.98             inf             inf       -nan(ind)             inf               0               0               0               0
599            0.01            5.99             inf             inf       -nan(ind)             inf               0               0               0               0
600            0.01               6             inf             inf       -nan(ind)             inf               0               0               0               0
601            0.01            6.01             inf             inf       -nan(ind)             inf               0               0               0               0
602            0.01            6.02             inf             inf       -nan(ind)             inf               0               0               0               0
603            0.01            6.03             inf             inf       -nan(ind)             inf               0               0               0               0
604            0.01            6.04             inf             inf       -nan(ind)             inf               0               0               0               0
605            0.01            6.05             inf             inf       -nan(ind)             inf               0               0               0               0
606            0.01            6.06             inf             inf       -nan(ind)             inf               0               0               0               0
607            0.01            6.07             inf             inf       -nan(ind)             inf               0               0               0               0
608            0.01            6.08             inf             inf       -nan(ind)             inf               0               0               0               0
609            0.01            6.09             inf             inf       -nan(ind)             inf               0               0               0               0
610            0.01             6.1             inf             inf       -nan(ind)             inf               0               0               0               0
611            0.01            6.11             inf             inf       -nan(ind)             inf               0               0               0               0
612            0.01            6.12             inf             inf       -nan(ind)             inf               0               0               0               0
613            0.01            6.13             inf             inf       -nan(ind)             inf               0               0               0               0
614            0.01            6.14             inf             inf       -nan(ind)             inf               0               0               0               0
615            0.01            6.15             inf             inf       -nan(ind)             inf               0               0               0               0
616            0.01            6.16             inf             inf       -nan(ind)             inf               0               0               0               0
617            0.01            6.17             inf             inf       -nan(ind)             inf               0               0               0               0
618            0.01            6.18             inf             inf       -nan(ind)             inf               0               0               0               0
619            0.01            6.19             inf             inf       -nan(ind)             inf               0               0               0               0
620            0.01             6.2             inf             inf       -nan(ind)             inf               0               0               0               0
621            0.01            6.21             inf             inf       -nan(ind)             inf               0               0               0               0
622            0.01            6.22             inf             inf       -nan(ind)             inf               0               0               0               0
623            0.01            6.23             inf             inf       -nan(ind)             inf               0               0               0               0
624            0.01            6.24             inf             inf       -nan(ind)             inf               0               0               0               0
625            0.01            6.25             inf             inf       -nan(ind)             inf               0               0               0               0
626            0.01            6.26             inf             inf       -nan(ind)             inf               0               0               0               0
627            0.01            6.27             inf             inf       -nan(ind)             inf               0               0               0               0
628            0.01            6.28             inf             inf       -nan(ind)             inf               0               0               0               0
629            0.01            6.29             inf             inf       -nan(ind)             inf               0               0               0               0
630            0.01             6.3             inf             inf       -nan(ind)             inf               0               0               0               0
631            0.01            6.31             inf             inf       -nan(ind)             inf               0               0               0               0
632            0.01            6.32             inf             inf       -nan(ind)             inf               0               0               0               0
633            0.01            6.33             inf             inf       -nan(ind)             inf               0               0               0               0
634            0.01            6.34             inf             inf       -nan(ind)             inf               0               0               0               0
635            0.01            6.35             inf             inf       -nan(ind)             inf               0               0               0               0
636            0.01            6.36             inf             inf       -nan(ind)             inf               0               0               0               0
637            0.01            6.37             inf             inf       -nan(ind)             inf               0               0               0               0
638            0.01            6.38             inf             inf       -nan(ind)             inf               0               0               0               0
639            0.01            6.39             inf             inf       -nan(ind)             inf               0               0               0               0
640            0.01             6.4             inf             inf       -nan(ind)             inf               0               0               0               0
641            0.01            6.41             inf             inf       -nan(ind)             inf               0               0               0               0
642            0.01            6.42             inf             inf       -nan(ind)             inf               0               0               0               0
643            0.01            6.43             inf             inf       -nan(ind)             inf               0               0               0               0
644            0.01            6.44             inf             inf       -nan(ind)             inf               0               0               0               0
645            0.01            6.45             inf             inf       -nan(ind)             inf               0               0               0               0
646            0.01            6.46             inf             inf       -nan(ind)             inf               0               0               0               0
647            0.01            6.47             inf             inf       -nan(ind)             inf               0               0               0               0
648            0.01            6.48             inf             inf       -nan(ind)             inf               0               0               0               0
649            0.01            6.49             inf             inf       -nan(ind)             inf               0               0               0               0
650            0.01             6.5             inf             inf       -nan(ind)             inf               0               0               0               0
651            0.01            6.51             inf             inf       -nan(ind)             inf               0               0               0               0
652            0.01            6.52             inf             inf       -nan(ind)             inf               0               0               0               0
653            0.01            6.53             inf             inf       -nan(ind)             inf               0               0               0               0
654            0.01            6.54             inf             inf       -nan(ind)             inf               0               0               0               0
655            0.01            6.55             inf             inf       -nan(ind)             inf               0               0               0               0
656            0.01            6.56             inf             inf       -nan(ind)             inf               0               0               0               0
657            0.01            6.57             inf             inf       -nan(ind)             inf               0               0               0               0
658            0.01            6.58             inf             inf       -nan(ind)             inf               0               0               0               0
659            0.01            6.59             inf             inf       -nan(ind)             inf               0               0               0               0
660            0.01             6.6             inf             inf       -nan(ind)             inf               0               0               0               0
661            0.01            6.61             inf             inf       -nan(ind)             inf               0               0               0               0
662            0.01            6.62             inf             inf       -nan(ind)             inf               0               0               0               0
663            0.01            6.63             inf             inf       -nan(ind)             inf               0               0               0               0
664            0.01            6.64             inf             inf       -nan(ind)             inf               0               0               0               0
665            0.01            6.65             inf             inf       -nan(ind)             inf               0               0               0               0
666            0.01            6.66             inf             inf       -nan(ind)             inf               0               0               0               0
667            0.01            6.67             inf             inf       -nan(ind)             inf               0               0               0               0
668            0.01            6.68             inf             inf       -nan(ind)             inf               0               0               0               0
669            0.01            6.69             inf             inf       -nan(ind)             inf               0               0               0               0
670            0.01             6.7             inf             inf       -nan(ind)             inf               0               0               0               0
671            0.01            6.71             inf             inf       -nan(ind)             inf               0               0               0               0
672            0.01            6.72             inf             inf       -nan(ind)             inf               0               0               0               0
673            0.01            6.73             inf             inf       -nan(ind)             inf               0               0               0               0
674            0.01            6.74             inf             inf       -nan(ind)             inf               0               0               0               0
675            0.01            6.75             inf             inf       -nan(ind)             inf               0               0               0               0
676            0.01            6.76             inf             inf       -nan(ind)             inf               0               0               0               0
677            0.01            6.77             inf             inf       -nan(ind)             inf               0               0               0               0
678            0.01            6.78             inf             inf       -nan(ind)             inf               0               0               0               0
679            0.01            6.79             inf             inf       -nan(ind)             inf               0               0               0               0
680            0.01             6.8             inf             inf       -nan(ind)             inf               0               0               0               0
681            0.01            6.81             inf             inf       -nan(ind)             inf               0               0               0               0
682            0.01            6.82             inf             inf       -nan(ind)             inf               0               0               0               0
683            0.01            6.83             inf             inf       -nan(ind)             inf               0               0               0               0
684            0.01            6.84             inf             inf       -nan(ind)             inf               0               0               0               0
685            0.01            6.85             inf             inf       -nan(ind)             inf               0               0               0               0
686            0.01            6.86             inf             inf       -nan(ind)             inf               0               0               0               0
687            0.01            6.87             inf             inf       -nan(ind)             inf               0               0               0               0
688            0.01            6.88             inf             inf       -nan(ind)             inf               0               0               0               0
689            0.01            6.89             inf             inf       -nan(ind)             inf               0               0               0               0
690            0.01             6.9             inf             inf       -nan(ind)             inf               0               0               0               0
691            0.01            6.91             inf             inf       -nan(ind)             inf               0               0               0               0
692            0.01            6.92             inf             inf       -nan(ind)             inf               0               0               0               0
693            0.01            6.93             inf             inf       -nan(ind)             inf               0               0               0               0
694            0.01            6.94             inf             inf       -nan(ind)             inf               0               0               0               0
695            0.01            6.95             inf             inf       -nan(ind)             inf               0               0               0               0
696            0.01            6.96             inf             inf       -nan(ind)             inf               0               0               0               0
697            0.01            6.97             inf             inf       -nan(ind)             inf               0               0               0               0
698            0.01            6.98             inf             inf       -nan(ind)             inf               0               0               0               0
699            0.01            6.99             inf             inf       -nan(ind)             inf               0               0               0               0
700            0.01               7             inf             inf       -nan(ind)             inf               0               0               0               0
701            0.01            7.01             inf             inf       -nan(ind)             inf               0               0               0               0
702            0.01            7.02             inf             inf       -nan(ind)             inf               0               0               0               0
703            0.01            7.03             inf             inf       -nan(ind)             inf               0               0               0               0
704            0.01            7.04             inf             inf       -nan(ind)             inf               0               0               0               0
705            0.01            7.05             inf             inf       -nan(ind)             inf               0               0               0               0
706            0.01            7.06             inf             inf       -nan(ind)             inf               0               0               0               0
707            0.01            7.07             inf             inf       -nan(ind)             inf               0               0               0               0
708            0.01            7.08             inf             inf       -nan(ind)             inf               0               0               0               0
709            0.01            7.09             inf             inf       -nan(ind)             inf               0               0               0               0
710            0.01             7.1             inf             inf       -nan(ind)             inf               0               0               0               0
711            0.01            7.11             inf             inf       -nan(ind)             inf               0               0               0               0
712            0.01            7.12             inf             inf       -nan(ind)             inf               0               0               0               0
713            0.01            7.13             inf             inf       -nan(ind)             inf               0               0               0               0
714            0.01            7.14             inf             inf       -nan(ind)             inf               0               0               0               0
715            0.01            7.15             inf             inf       -nan(ind)             inf               0               0               0               0
716            0.01            7.16             inf             inf       -nan(ind)             inf               0               0               0               0
717            0.01            7.17             inf             inf       -nan(ind)             inf               0               0               0               0
718            0.01            7.18             inf             inf       -nan(ind)             inf               0               0               0               0
719            0.01            7.19             inf             inf       -nan(ind)             inf               0               0               0               0
720            0.01             7.2             inf             inf       -nan(ind)             inf               0               0               0               0
721            0.01            7.21             inf             inf       -nan(ind)             inf               0               0               0               0
722            0.01            7.22             inf             inf       -nan(ind)             inf               0               0               0               0
723            0.01            7.23             inf             inf       -nan(ind)             inf               0               0               0               0
724            0.01            7.24             inf             inf       -nan(ind)             inf               0               0               0               0
725            0.01            7.25             inf             inf       -nan(ind)             inf               0               0               0               0
726            0.01            7.26             inf             inf       -nan(ind)             inf               0               0               0               0
727            0.01            7.27             inf             inf       -nan(ind)             inf               0               0               0               0
728            0.01            7.28             inf             inf       -nan(ind)             inf               0               0               0               0
729            0.01            7.29             inf             inf       -nan(ind)             inf               0               0               0               0
730            0.01             7.3             inf             inf       -nan(ind)             inf               0               0               0               0
731            0.01            7.31             inf             inf       -nan(ind)             inf               0               0               0               0
732            0.01            7.32             inf             inf       -nan(ind)             inf               0               0               0               0
733            0.01            7.33             inf             inf       -nan(ind)             inf               0               0               0               0
734            0.01            7.34             inf             inf       -nan(ind)             inf               0               0               0               0
735            0.01            7.35             inf             inf       -nan(ind)             inf               0               0               0               0
736            0.01            7.36             inf             inf       -nan(ind)             inf               0               0               0               0
737            0.01            7.37             inf             inf       -nan(ind)             inf               0               0               0               0
738            0.01            7.38             inf             inf       -nan(ind)             inf               0               0               0               0
739            0.01            7.39             inf             inf       -nan(ind)             inf               0               0               0               0
740            0.01             7.4             inf             inf       -nan(ind)             inf               0               0               0               0
741            0.01            7.41             inf             inf       -nan(ind)             inf               0               0               0               0
742            0.01            7.42             inf             inf       -nan(ind)             inf               0               0               0               0
743            0.01            7.43             inf             inf       -nan(ind)             inf               0               0               0               0
744            0.01            7.44             inf             inf       -nan(ind)             inf               0               0               0               0
745            0.01            7.45             inf             inf       -nan(ind)             inf               0               0               0               0
746            0.01            7.46             inf             inf       -nan(ind)             inf               0               0               0               0
747            0.01            7.47             inf             inf       -nan(ind)             inf               0               0               0               0
748            0.01            7.48             inf             inf       -nan(ind)             inf               0               0               0               0
749            0.01            7.49             inf             inf       -nan(ind)             inf               0               0               0               0
750            0.01             7.5             inf             inf       -nan(ind)             inf               0               0               0               0
751            0.01            7.51             inf             inf       -nan(ind)             inf               0               0               0               0
752            0.01            7.52             inf             inf       -nan(ind)             inf               0               0               0               0
753            0.01            7.53             inf             inf       -nan(ind)             inf               0               0               0               0
754            0.01            7.54             inf             inf       -nan(ind)             inf               0               0               0               0
755            0.01            7.55             inf             inf       -nan(ind)             inf               0               0               0               0
756            0.01            7.56             inf             inf       -nan(ind)             inf               0               0               0               0
757            0.01            7.57             inf             inf       -nan(ind)             inf               0               0               0               0
758            0.01            7.58             inf             inf       -nan(ind)             inf               0               0               0               0
759            0.01            7.59             inf             inf       -nan(ind)             inf               0               0               0               0
760            0.01             7.6             inf             inf       -nan(ind)             inf               0               0               0               0
761            0.01            7.61             inf             inf       -nan(ind)             inf               0               0               0               0
762            0.01            7.62             inf             inf       -nan(ind)             inf               0               0               0               0
763            0.01            7.63             inf             inf       -nan(ind)             inf               0               0               0               0
764            0.01            7.64             inf             inf       -nan(ind)             inf               0               0               0               0
765            0.01            7.65             inf             inf       -nan(ind)             inf               0               0               0               0
