------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
74         0.08         5.56       15.084       4.3428       15.084       4.3428   1.3577e-06            0            0
75         0.08         5.64       15.433       4.3881       15.433       4.3881   1.3847e-06            0            0
76         0.08         5.72       15.786       4.4333       15.786       4.4333    1.412e-06            0            0
77         0.08          5.8       16.142       4.4785       16.142       4.4785   1.4395e-06            0            0
78         0.08         5.88       16.502       4.5235       16.502       4.5235   1.4674e-06            0            0
79         0.08         5.96       16.866       4.5686       16.866       4.5686   1.4954e-06            0            0
80         0.08         6.04       17.233       4.6136       17.233       4.6136   1.5238e-06            0            0
81         0.08         6.12       17.604       4.6585       17.604       4.6585   1.5524e-06            0            0
82         0.08          6.2       17.979       4.7033       17.979       4.7033   1.5813e-06            0            0
83         0.08         6.28       18.357       4.7481       18.357       4.7481   1.6105e-06            0            0
84         0.08         6.36       18.738       4.7929       18.738       4.7929   1.6399e-06            0            0
85         0.08         6.44       19.123       4.8376       19.123       4.8376   1.6696e-06            0            0
86         0.08         6.52       19.512       4.8823       19.512       4.8823   1.6995e-06            0            0
87         0.08          6.6       19.905       4.9269       19.905       4.9269   1.7298e-06            0            0
88         0.08         6.68       20.301       4.9714       20.301       4.9714   1.7603e-06            0            0
89         0.08         6.76         20.7        5.016         20.7        5.016    1.791e-06            0            0
90         0.08         6.84       21.103       5.0604       21.103       5.0604    1.822e-06            0            0
91         0.08         6.92        21.51       5.1049        21.51       5.1049   1.8533e-06            0            0
92         0.08            7        21.92       5.1492        21.92       5.1492   1.8849e-06            0            0
93         0.08         7.08       22.334       5.1936       22.334       5.1936   1.9167e-06            0            0
94         0.08         7.16       22.751       5.2379       22.751       5.2379   1.9488e-06            0            0
95         0.08         7.24       23.172       5.2821       23.172       5.2821   1.9812e-06            0            0
96         0.08         7.32       23.596       5.3263       23.596       5.3263   2.0138e-06            0            0
97         0.08          7.4       24.024       5.3705       24.024       5.3705   2.0468e-06            0            0
98         0.08         7.48       24.455       5.4146       24.455       5.4146   2.0799e-06            0            0
99         0.08         7.56        24.89       5.4587        24.89       5.4587   2.1134e-06            0            0
100         0.08         7.64       25.329       5.5028       25.329       5.5028   2.1471e-06            0            0
101         0.08         7.72       25.771       5.5468       25.771       5.5468   2.1811e-06            0            0
102         0.08          7.8       26.216       5.5908       26.216       5.5908   2.2154e-06            0            0
103         0.08         7.88       26.665       5.6348       26.665       5.6348   2.2499e-06            0            0
104         0.08         7.96       27.118       5.6787       27.118       5.6787   2.2847e-06            0            0
105         0.08         8.04       27.574       5.7226       27.574       5.7226   2.3198e-06            0            0
106         0.08         8.12       28.033       5.7664       28.033       5.7664   2.3551e-06            0            0
107         0.08          8.2       28.496       5.8103       28.496       5.8103   2.3908e-06            0            0
108         0.08         8.28       28.963        5.854       28.963        5.854   2.4267e-06            0            0
109         0.08         8.36       29.433       5.8978       29.433       5.8978   2.4629e-06            0            0
110         0.08         8.44       29.907       5.9415       29.907       5.9415   2.4993e-06            0            0
111         0.08         8.52       30.384       5.9852       30.384       5.9852   2.5361e-06            0            0
112         0.08          8.6       30.864       6.0289       30.864       6.0289   2.5731e-06            0            0
113         0.08         8.68       31.348       6.0725       31.348       6.0725   2.6104e-06            0            0
114         0.08         8.76       31.836       6.1161       31.836       6.1161    2.648e-06            0            0
115         0.08         8.84       32.327       6.1597       32.327       6.1597   2.6858e-06            0            0
116         0.08         8.92       32.821       6.2033       32.821       6.2033    2.724e-06            0            0
117         0.08            9       33.319       6.2468       33.319       6.2468   2.7624e-06            0            0
118         0.08         9.08       33.821       6.2903       33.821       6.2903   2.8011e-06            0            0
119         0.08         9.16       34.326       6.3337       34.326       6.3337   2.8401e-06            0            0
120         0.08         9.24       34.834       6.3772       34.834       6.3772   2.8794e-06            0            0
121         0.08         9.32       35.346       6.4206       35.346       6.4206   2.9189e-06            0            0
122         0.08          9.4       35.862        6.464       35.862        6.464   2.9588e-06            0            0
123         0.08         9.48        36.38       6.5074        36.38       6.5074    2.999e-06            0            0
124         0.08         9.56       36.903       6.5507       36.903       6.5507   3.0394e-06            0            0
125         0.08         9.64       37.429        6.594       37.429        6.594   3.0801e-06            0            0
126         0.08         9.72       37.958       6.6373       37.958       6.6373   3.1212e-06            0            0
127         0.08          9.8       38.491       6.6806       38.491       6.6806   3.1625e-06            0            0
128         0.08         9.88       39.027       6.7238       39.027       6.7238   3.2041e-06            0            0
129         0.08         9.96       39.566       6.7671       39.566       6.7671    3.246e-06            0            0
130         0.08        10.04       40.109       6.8103       40.109       6.8103   3.2883e-06            0            0
131         0.08        10.12       40.656       6.8534       40.656       6.8535   3.3308e-06            0            0
132         0.08         10.2       41.206       6.8966       41.206       6.8966   3.3736e-06            0            0
133         0.08        10.28       41.759       6.9397       41.759       6.9397   3.4167e-06            0            0
134         0.08        10.36       42.316       6.9829       42.316       6.9829   3.4602e-06            0            0
135         0.08        10.44       42.877        7.026       42.877        7.026   3.5039e-06            0            0
136         0.08        10.52       43.441        7.069       43.441        7.069    3.548e-06            0            0
137         0.08         10.6       44.008       7.1121       44.008       7.1121   3.5924e-06            0            0
138         0.08        10.68       44.578       7.1551       44.578       7.1551    3.637e-06            0            0
139         0.08        10.76       45.153       7.1981       45.153       7.1981    3.682e-06            0            0
140         0.08        10.84        45.73       7.2411        45.73       7.2411   3.7274e-06            0            0
141         0.08        10.92       46.311       7.2841       46.311       7.2841    3.773e-06            0            0
142         0.08           11       46.896       7.3271       46.896       7.3271   3.8189e-06            0            0
143         0.08        11.08       47.483         7.37       47.483         7.37   3.8652e-06            0            0
144         0.08        11.16       48.075       7.4129       48.075       7.4129   3.9118e-06            0            0
145         0.08        11.24        48.67       7.4558        48.67       7.4558   3.9588e-06            0            0
146         0.08        11.32       49.268       7.4987       49.268       7.4987    4.006e-06            0            0
147         0.08         11.4       49.869       7.5416       49.869       7.5416   4.0536e-06            0            0
148         0.08        11.48       50.474       7.5844       50.474       7.5844   4.1016e-06            0            0
149         0.08        11.56       51.083       7.6272       51.083       7.6272   4.1498e-06            0            0
150         0.08        11.64       51.695         7.67       51.695       7.6701   4.1985e-06            0            0
151         0.08        11.72        52.31       7.7128        52.31       7.7128   4.2474e-06            0            0
152         0.08         11.8       52.929       7.7556       52.929       7.7556   4.2967e-06            0            0
153         0.08        11.88       53.551       7.7984       53.551       7.7984   4.3464e-06            0            0
154         0.08        11.96       54.177       7.8411       54.177       7.8411   4.3964e-06            0            0
155         0.08        12.04       54.806       7.8839       54.806       7.8839   4.4467e-06            0            0
156         0.08        12.12       55.438       7.9266       55.438       7.9266   4.4974e-06            0            0
157         0.08         12.2       56.074       7.9693       56.074       7.9693   4.5485e-06            0            0
158         0.08        12.28       56.713        8.012       56.713        8.012   4.5999e-06            0            0
159         0.08        12.36       57.356       8.0546       57.356       8.0546   4.6517e-06            0            0
160         0.08        12.44       58.002       8.0973       58.002       8.0973   4.7039e-06            0            0
161         0.08        12.52       58.651       8.1399       58.651       8.1399   4.7564e-06            0            0
162         0.08         12.6       59.304       8.1825       59.304       8.1825   4.8093e-06            0            0
163         0.08        12.68        59.96       8.2251        59.96       8.2251   4.8626e-06            0            0
164         0.08        12.76        60.62       8.2677        60.62       8.2677   4.9163e-06            0            0
165         0.08        12.84       61.283       8.3103       61.283       8.3103   4.9704e-06            0            0
166         0.08        12.92        61.95       8.3529        61.95       8.3529   5.0248e-06            0            0
167         0.08           13        62.62       8.3954        62.62       8.3954   5.0797e-06            0            0
168         0.08        13.08       63.293        8.438       63.293        8.438   5.1349e-06            0            0
169         0.08        13.16        63.97       8.4805        63.97       8.4805   5.1905e-06            0            0
170         0.08        13.24        64.65        8.523        64.65        8.523   5.2466e-06            0            0
171         0.08        13.32       65.334       8.5655       65.334       8.5655    5.303e-06            0            0
172         0.08         13.4        66.02        8.608        66.02        8.608   5.3599e-06            0            0
