------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
335         0.08        26.44       222.88        15.42       222.88        15.42   3.3076e-05            0            0
336         0.08        26.52       224.11       15.461       224.11       15.461   3.3655e-05            0            0
337         0.08         26.6       225.35       15.503       225.35       15.503   3.4253e-05            0            0
338         0.08        26.68       226.59       15.544       226.59       15.544    3.487e-05            0            0
339         0.08        26.76       227.84       15.585       227.84       15.585   3.5506e-05            0            0
340         0.08        26.84       229.09       15.627       229.09       15.627   3.6164e-05            0            0
341         0.08        26.92       230.34       15.668       230.34       15.668   3.6843e-05            0            0
342         0.08           27       231.59       15.709       231.59       15.709   3.7546e-05            0            0
343         0.08        27.08       232.85       15.751       232.85       15.751   3.8273e-05            0            0
344         0.08        27.16       234.11       15.792       234.11       15.792   3.9025e-05            0            0
345         0.08        27.24       235.38       15.833       235.38       15.833   3.9804e-05            0            0
346         0.08        27.32       236.65       15.875       236.65       15.875   4.0612e-05            0            0
347         0.08         27.4       237.92       15.916       237.92       15.916   4.1449e-05            0            0
348         0.08        27.48       239.19       15.957       239.19       15.957   4.2319e-05            0            0
349         0.08        27.56       240.47       15.999       240.47       15.999   4.3221e-05            0            0
350         0.08        27.64       241.75        16.04       241.75        16.04   4.4159e-05            0            0
351         0.08        27.72       243.04       16.081       243.04       16.081   4.5134e-05            0            0
352         0.08         27.8       244.33       16.122       244.33       16.122   4.6148e-05            0            0
353         0.08        27.88       245.62       16.164       245.62       16.164   4.7205e-05            0            0
354         0.08        27.96       246.91       16.205       246.91       16.205   4.8306e-05            0            0
355         0.08        28.04       248.21       16.246       248.21       16.246   4.9454e-05            0            0
356         0.08        28.12       249.51       16.287       249.51       16.288   5.0653e-05            0            0
357         0.08         28.2       250.82       16.329       250.82       16.329   5.1906e-05            0            0
358         0.08        28.28       252.12        16.37       252.12        16.37   5.3216e-05            0            0
359         0.08        28.36       253.44       16.411       253.44       16.411   5.4587e-05            0            0
360         0.08        28.44       254.75       16.453       254.75       16.453   5.6023e-05            0            0
361         0.08        28.52       256.07       16.494       256.07       16.494   5.7529e-05            0            0
362         0.08         28.6       257.39       16.535       257.39       16.535    5.911e-05            0            0
363         0.08        28.68       258.71       16.576       258.71       16.576   6.0771e-05            0            0
364         0.08        28.76       260.04       16.617       260.04       16.618   6.2519e-05            0            0
365         0.08        28.84       261.37       16.659       261.37       16.659    6.436e-05            0            0
366         0.08        28.92       262.71         16.7       262.71         16.7   6.6302e-05            0            0
367         0.08           29       264.04       16.741       264.04       16.741   6.8351e-05            0            0
368         0.08        29.08       265.39       16.782       265.39       16.782   7.0518e-05            0            0
369         0.08        29.16       266.73       16.824       266.73       16.824   7.2812e-05            0            0
370         0.08        29.24       268.08       16.865       268.08       16.865   7.5243e-05            0            0
371         0.08        29.32       269.43       16.906       269.43       16.906   7.7824e-05            0            0
372         0.08         29.4       270.78       16.947       270.78       16.947   8.0568e-05            0            0
373         0.08        29.48       272.14       16.989       272.14       16.989   8.3489e-05            0            0
374         0.08        29.56        273.5        17.03        273.5        17.03   8.6605e-05            0            0
375         0.08        29.64       274.86       17.071       274.86       17.071   8.9934e-05            0            0
376         0.08        29.72       276.23       17.112       276.23       17.112   9.3497e-05            0            0
377         0.08         29.8        277.6       17.153        277.6       17.153   9.7316e-05            0            0
378         0.08        29.88       278.98       17.195       278.98       17.195   0.00010142            0            0
379         0.08        29.96       280.35       17.236       280.35       17.236   0.00010584            0            0
380         0.08        30.04       281.73       17.277       281.73       17.277    0.0001106            0            0
381         0.08        30.12       283.12       17.318       283.12       17.318   0.00011575            0            0
382         0.08         30.2        284.5       17.359        284.5       17.359   0.00012133            0            0
383         0.08        30.28        285.9         17.4        285.9       17.401   0.00012739            0            0
384         0.08        30.36       287.29       17.442       287.29       17.442   0.00013399            0            0
385         0.08        30.44       288.69       17.483       288.69       17.483   0.00014119            0            0
386         0.08        30.52       290.09       17.524       290.09       17.524   0.00014908            0            0
387         0.08         30.6       291.49       17.565       291.49       17.565   0.00015773            0            0
388         0.04        30.68        293.6       17.627        293.6       17.627   6.4156e-06            0            1
389         0.04        30.72       294.31       17.648       294.31       17.648   2.3536e-06            0            0
390         0.04        30.76       295.01       17.668       295.01       17.668   1.1836e-06            0            0
391         0.04         30.8       295.72       17.689       295.72       17.689   8.4777e-07            0            0
392         0.04        30.84       296.43       17.709       296.43       17.709    7.524e-07            0            0
393         0.04        30.88       297.14        17.73       297.14        17.73   7.2627e-07            0            0
394         0.04        30.92       297.85       17.751       297.85       17.751   7.2008e-07            0            0
395         0.04        30.96       298.56       17.771       298.56       17.771   7.1962e-07            0            0
396         0.04           31       299.27       17.792       299.27       17.792   7.2081e-07            0            0
397         0.04        31.04       299.98       17.812       299.98       17.812   7.2247e-07            0            0
398         0.04        31.08       300.69       17.833       300.69       17.833   7.2428e-07            0            0
399         0.04        31.12       301.41       17.853       301.41       17.853   7.2613e-07            0            0
400         0.04        31.16       302.12       17.874       302.12       17.874   7.2799e-07            0            0
401         0.04         31.2       302.84       17.895       302.84       17.895   7.2986e-07            0            0
402         0.04        31.24       303.55       17.915       303.55       17.915   7.3173e-07            0            0
403         0.04        31.28       304.27       17.936       304.27       17.936    7.336e-07            0            0
404         0.04        31.32       304.99       17.956       304.99       17.956   7.3548e-07            0            0
405         0.04        31.36       305.71       17.977       305.71       17.977   7.3737e-07            0            0
406         0.04         31.4       306.43       17.997       306.43       17.997   7.3926e-07            0            0
407         0.04        31.44       307.15       18.018       307.15       18.018   7.4115e-07            0            0
408         0.04        31.48       307.87       18.039       307.87       18.039   7.4304e-07            0            0
409         0.04        31.52       308.59       18.059       308.59       18.059   7.4494e-07            0            0
410         0.04        31.56       309.31        18.08       309.31        18.08   7.4684e-07            0            0
411         0.04         31.6       310.04         18.1       310.04         18.1   7.4875e-07            0            0
412         0.04        31.64       310.76       18.121       310.76       18.121   7.5066e-07            0            0
413         0.04        31.68       311.49       18.141       311.49       18.141   7.5257e-07            0            0
414         0.04        31.72       312.21       18.162       312.21       18.162   7.5449e-07            0            0
415         0.04        31.76       312.94       18.183       312.94       18.183   7.5641e-07            0            0
416         0.04         31.8       313.67       18.203       313.67       18.203   7.5833e-07            0            0
417         0.04        31.84       314.39       18.224       314.39       18.224   7.6026e-07            0            0
418         0.04        31.88       315.12       18.244       315.12       18.244   7.6219e-07            0            0
419         0.04        31.92       315.85       18.265       315.85       18.265   7.6413e-07            0            0
420         0.04        31.96       316.59       18.285       316.59       18.285   7.6607e-07            0            0
421         0.04           32       317.32       18.306       317.32       18.306   7.6801e-07            0            0
422         0.04        32.04       318.05       18.327       318.05       18.327   7.6996e-07            0            0
423         0.04        32.08       318.78       18.347       318.78       18.347   7.7191e-07            0            0
424         0.04        32.12       319.52       18.368       319.52       18.368   7.7387e-07            0            0
425         0.04        32.16       320.25       18.388       320.25       18.388   7.7583e-07            0            0
426         0.04         32.2       320.99       18.409       320.99       18.409   7.7779e-07            0            0
427         0.04        32.24       321.73       18.429       321.73       18.429   7.7976e-07            0            0
428         0.04        32.28       322.46        18.45       322.46        18.45   7.8173e-07            0            0
429         0.04        32.32        323.2        18.47        323.2        18.47    7.837e-07            0            0
430         0.04        32.36       323.94       18.491       323.94       18.491   7.8568e-07            0            0
431         0.04         32.4       324.68       18.512       324.68       18.512   7.8766e-07            0            0
432         0.04        32.44       325.42       18.532       325.42       18.532   7.8965e-07            0            0
433         0.04        32.48       326.16       18.553       326.16       18.553   7.9164e-07            0            0
434         0.04        32.52       326.91       18.573       326.91       18.573   7.9363e-07            0            0
435         0.04        32.56       327.65       18.594       327.65       18.594   7.9563e-07            0            0
436         0.04         32.6       328.39       18.614       328.39       18.614   7.9763e-07            0            0
437         0.04        32.64       329.14       18.635       329.14       18.635   7.9964e-07            0            0
438         0.04        32.68       329.88       18.655       329.88       18.655   8.0165e-07            0            0
439         0.04        32.72       330.63       18.676       330.63       18.676   8.0366e-07            0            0
440         0.04        32.76       331.38       18.697       331.38       18.697   8.0568e-07            0            0
441         0.04         32.8       332.13       18.717       332.13       18.717    8.077e-07            0            0
442         0.04        32.84       332.88       18.738       332.88       18.738   8.0973e-07            0            0
443         0.04        32.88       333.63       18.758       333.63       18.758   8.1176e-07            0            0
444         0.04        32.92       334.38       18.779       334.38       18.779   8.1379e-07            0            0
445         0.04        32.96       335.13       18.799       335.13       18.799   8.1583e-07            0            0
446         0.04           33       335.88        18.82       335.88        18.82   8.1788e-07            0            0
447         0.04        33.04       336.63        18.84       336.63        18.84   8.1992e-07            0            0
448         0.04        33.08       337.39       18.861       337.39       18.861   8.2197e-07            0            0
449         0.04        33.12       338.14       18.881       338.14       18.881   8.2403e-07            0            0
450         0.04        33.16        338.9       18.902        338.9       18.902   8.2609e-07            0            0
451         0.04         33.2       339.65       18.923       339.65       18.923   8.2815e-07            0            0
452         0.04        33.24       340.41       18.943       340.41       18.943   8.3022e-07            0            0
453         0.04        33.28       341.17       18.964       341.17       18.964   8.3229e-07            0            0
454         0.04        33.32       341.93       18.984       341.93       18.984   8.3437e-07            0            0
455         0.04        33.36       342.69       19.005       342.69       19.005   8.3645e-07            0            0
456         0.04         33.4       343.45       19.025       343.45       19.025   8.3853e-07            0            0
457         0.04        33.44       344.21       19.046       344.21       19.046   8.4062e-07            0            0
458         0.04        33.48       344.97       19.066       344.97       19.066   8.4272e-07            0            0
459         0.04        33.52       345.74       19.087       345.74       19.087   8.4481e-07            0            0
460         0.04        33.56        346.5       19.107        346.5       19.107   8.4692e-07            0            0
461         0.04         33.6       347.26       19.128       347.26       19.128   8.4902e-07            0            0
462         0.04        33.64       348.03       19.148       348.03       19.148   8.5113e-07            0            0
463         0.04        33.68        348.8       19.169        348.8       19.169   8.5325e-07            0            0
464         0.04        33.72       349.56        19.19       349.56        19.19   8.5537e-07            0            0
465         0.04        33.76       350.33        19.21       350.33        19.21   8.5749e-07            0            0
466         0.04         33.8        351.1       19.231        351.1       19.231   8.5962e-07            0            0
467         0.04        33.84       351.87       19.251       351.87       19.251   8.6175e-07            0            0
468         0.04        33.88       352.64       19.272       352.64       19.272   8.6389e-07            0            0
469         0.04        33.92       353.41       19.292       353.41       19.292   8.6603e-07            0            0
470         0.04        33.96       354.18       19.313       354.18       19.313   8.6818e-07            0            0
471         0.04           34       354.96       19.333       354.96       19.333   8.7033e-07            0            0
472         0.04        34.04       355.73       19.354       355.73       19.354   8.7248e-07            0            0
473         0.04        34.08       356.51       19.374       356.51       19.374   8.7464e-07            0            0
474         0.04        34.12       357.28       19.395       357.28       19.395   8.7681e-07            0            0
475         0.04        34.16       358.06       19.415       358.06       19.415   8.7898e-07            0            0
476         0.04         34.2       358.83       19.436       358.83       19.436   8.8115e-07            0            0
477         0.04        34.24       359.61       19.456       359.61       19.456   8.8333e-07            0            0
478         0.04        34.28       360.39       19.477       360.39       19.477   8.8551e-07            0            0
479         0.04        34.32       361.17       19.498       361.17       19.498    8.877e-07            0            0
480         0.04        34.36       361.95       19.518       361.95       19.518   8.8989e-07            0            0
481         0.04         34.4       362.73       19.539       362.73       19.539   8.9208e-07            0            0
482         0.04        34.44       363.51       19.559       363.51       19.559   8.9428e-07            0            0
483         0.04        34.48        364.3        19.58        364.3        19.58   8.9649e-07            0            0
484         0.04        34.52       365.08         19.6       365.08         19.6    8.987e-07            0            0
485         0.04        34.56       365.86       19.621       365.86       19.621   9.0091e-07            0            0
486         0.04         34.6       366.65       19.641       366.65       19.641   9.0313e-07            0            0
487         0.04        34.64       367.44       19.662       367.44       19.662   9.0536e-07            0            0
488         0.04        34.68       368.22       19.682       368.22       19.682   9.0759e-07            0            0
489         0.04        34.72       369.01       19.703       369.01       19.703   9.0982e-07            0            0
490         0.04        34.76        369.8       19.723        369.8       19.723   9.1206e-07            0            0
491         0.04         34.8       370.59       19.744       370.59       19.744    9.143e-07            0            0
492         0.04        34.84       371.38       19.764       371.38       19.764   9.1655e-07            0            0
493         0.04        34.88       372.17       19.785       372.17       19.785   9.1881e-07            0            0
494         0.04        34.92       372.96       19.805       372.96       19.805   9.2106e-07            0            0
495         0.04        34.96       373.75       19.826       373.75       19.826   9.2333e-07            0            0
496         0.04           35       374.55       19.846       374.55       19.846    9.256e-07            0            0
497         0.04        35.04       375.34       19.867       375.34       19.867   9.2787e-07            0            0
498         0.04        35.08       376.14       19.887       376.14       19.887   9.3015e-07            0            0
499         0.04        35.12       376.93       19.908       376.93       19.908   9.3243e-07            0            0
500         0.04        35.16       377.73       19.928       377.73       19.928   9.3472e-07            0            0
501         0.04         35.2       378.53       19.949       378.53       19.949   9.3701e-07            0            0
502         0.04        35.24       379.32        19.97       379.32        19.97   9.3931e-07            0            0
503         0.04        35.28       380.12        19.99       380.12        19.99   9.4161e-07            0            0
504         0.04        35.32       380.92       20.011       380.92       20.011   9.4392e-07            0            0
505         0.04        35.36       381.72       20.031       381.72       20.031   9.4623e-07            0            0
506         0.04         35.4       382.53       20.052       382.53       20.052   9.4855e-07            0            0
507         0.04        35.44       383.33       20.072       383.33       20.072   9.5087e-07            0            0
508         0.04        35.48       384.13       20.093       384.13       20.093    9.532e-07            0            0
509         0.04        35.52       384.94       20.113       384.94       20.113   9.5553e-07            0            0
510         0.04        35.56       385.74       20.134       385.74       20.134   9.5787e-07            0            0
511         0.04         35.6       386.55       20.154       386.55       20.154   9.6022e-07            0            0
512         0.04        35.64       387.35       20.175       387.35       20.175   9.6256e-07            0            0
513         0.04        35.68       388.16       20.195       388.16       20.195   9.6492e-07            0            0
514         0.04        35.72       388.97       20.216       388.97       20.216   9.6728e-07            0            0
515         0.04        35.76       389.78       20.236       389.78       20.236   9.6964e-07            0            0
516         0.04         35.8       390.59       20.257       390.59       20.257   9.7201e-07            0            0
517         0.04        35.84        391.4       20.277        391.4       20.277   9.7439e-07            0            0
518         0.04        35.88       392.21       20.298       392.21       20.298   9.7677e-07            0            0
519         0.04        35.92       393.02       20.318       393.02       20.318   9.7915e-07            0            0
520         0.04        35.96       393.84       20.339       393.84       20.339   9.8154e-07            0            0
521         0.04           36       394.65       20.359       394.65       20.359   9.8394e-07            0            0
522         0.04        36.04       395.46        20.38       395.46        20.38   9.8634e-07            0            0
523         0.04        36.08       396.28         20.4       396.28         20.4   9.8875e-07            0            0
524         0.04        36.12        397.1       20.421        397.1       20.421   9.9116e-07            0            0
525         0.04        36.16       397.91       20.441       397.91       20.441   9.9358e-07            0            0
526         0.04         36.2       398.73       20.462       398.73       20.462   9.9601e-07            0            0
527         0.04        36.24       399.55       20.482       399.55       20.482   9.9843e-07            0            0
528         0.04        36.28       400.37       20.503       400.37       20.503   1.0009e-06            0            0
529         0.04        36.32       401.19       20.523       401.19       20.523   1.0033e-06            0            0
530         0.04        36.36       402.01       20.544       402.01       20.544   1.0058e-06            0            0
531         0.04         36.4       402.83       20.564       402.83       20.564   1.0082e-06            0            0
532         0.04        36.44       403.66       20.585       403.66       20.585   1.0107e-06            0            0
533         0.04        36.48       404.48       20.605       404.48       20.605   1.0131e-06            0            0
534         0.04        36.52       405.31       20.626       405.31       20.626   1.0156e-06            0            0
535         0.04        36.56       406.13       20.646       406.13       20.646   1.0181e-06            0            0
536         0.04         36.6       406.96       20.667       406.96       20.667   1.0205e-06            0            0
537         0.04        36.64       407.78       20.687       407.78       20.687    1.023e-06            0            0
538         0.04        36.68       408.61       20.708       408.61       20.708   1.0255e-06            0            0
539         0.04        36.72       409.44       20.728       409.44       20.728    1.028e-06            0            0
540         0.04        36.76       410.27       20.749       410.27       20.749   1.0305e-06            0            0
541         0.04         36.8        411.1       20.769        411.1       20.769    1.033e-06            0            0
542         0.04        36.84       411.93        20.79       411.93        20.79   1.0355e-06            0            0
543         0.04        36.88       412.76        20.81       412.76        20.81   1.0381e-06            0            0
544         0.04        36.92        413.6       20.831        413.6       20.831   1.0406e-06            0            0
545         0.04        36.96       414.43       20.851       414.43       20.851   1.0431e-06            0            0
546         0.04           37       415.26       20.872       415.26       20.872   1.0457e-06            0            0
547         0.04        37.04        416.1       20.892        416.1       20.892   1.0482e-06            0            0
548         0.04        37.08       416.94       20.913       416.94       20.913   1.0508e-06            0            0
549         0.04        37.12       417.77       20.933       417.77       20.933   1.0533e-06            0            0
550         0.04        37.16       418.61       20.954       418.61       20.954   1.0559e-06            0            0
551         0.04         37.2       419.45       20.974       419.45       20.974   1.0584e-06            0            0
552         0.04        37.24       420.29       20.995       420.29       20.995    1.061e-06            0            0
553         0.04        37.28       421.13       21.015       421.13       21.015   1.0636e-06            0            0
554         0.04        37.32       421.97       21.036       421.97       21.036   1.0662e-06            0            0
555         0.04        37.36       422.81       21.056       422.81       21.056   1.0688e-06            0            0
556         0.04         37.4       423.65       21.076       423.65       21.076   1.0714e-06            0            0
557         0.04        37.44        424.5       21.097        424.5       21.097    1.074e-06            0            0
558         0.04        37.48       425.34       21.117       425.34       21.117   1.0766e-06            0            0
559         0.04        37.52       426.19       21.138       426.19       21.138   1.0792e-06            0            0
560         0.04        37.56       427.03       21.158       427.03       21.158   1.0818e-06            0            0
561         0.04         37.6       427.88       21.179       427.88       21.179   1.0845e-06            0            0
562         0.04        37.64       428.73       21.199       428.73       21.199   1.0871e-06            0            0
563         0.04        37.68       429.58        21.22       429.58        21.22   1.0897e-06            0            0
564         0.04        37.72       430.43        21.24       430.43        21.24   1.0924e-06            0            0
565         0.04        37.76       431.28       21.261       431.28       21.261    1.095e-06            0            0
566         0.04         37.8       432.13       21.281       432.13       21.281   1.0977e-06            0            0
567         0.04        37.84       432.98       21.302       432.98       21.302   1.1004e-06            0            0
568         0.04        37.88       433.83       21.322       433.83       21.322   1.1031e-06            0            0
569         0.04        37.92       434.68       21.343       434.68       21.343   1.1057e-06            0            0
570         0.04        37.96       435.54       21.363       435.54       21.363   1.1084e-06            0            0
571         0.04           38       436.39       21.384       436.39       21.384   1.1111e-06            0            0
572         0.04        38.04       437.25       21.404       437.25       21.404   1.1138e-06            0            0
573         0.04        38.08        438.1       21.425        438.1       21.425   1.1165e-06            0            0
574         0.04        38.12       438.96       21.445       438.96       21.445   1.1192e-06            0            0
575         0.04        38.16       439.82       21.466       439.82       21.466    1.122e-06            0            0
576         0.04         38.2       440.68       21.486       440.68       21.486   1.1247e-06            0            0
577         0.04        38.24       441.54       21.507       441.54       21.507   1.1274e-06            0            0
578         0.04        38.28        442.4       21.527        442.4       21.527   1.1302e-06            0            0
579         0.04        38.32       443.26       21.548       443.26       21.548   1.1329e-06            0            0
580         0.04        38.36       444.12       21.568       444.12       21.568   1.1357e-06            0            0
581         0.04         38.4       444.99       21.589       444.99       21.589   1.1384e-06            0            0
582         0.04        38.44       445.85       21.609       445.85       21.609   1.1412e-06            0            0
583         0.04        38.48       446.72       21.629       446.72       21.629    1.144e-06            0            0
584         0.04        38.52       447.58        21.65       447.58        21.65   1.1468e-06            0            0
585         0.04        38.56       448.45        21.67       448.45        21.67   1.1495e-06            0            0
586         0.04         38.6       449.31       21.691       449.31       21.691   1.1523e-06            0            0
587         0.04        38.64       450.18       21.711       450.18       21.711   1.1551e-06            0            0
588         0.04        38.68       451.05       21.732       451.05       21.732    1.158e-06            0            0
589         0.04        38.72       451.92       21.752       451.92       21.752   1.1608e-06            0            0
590         0.04        38.76       452.79       21.773       452.79       21.773   1.1636e-06            0            0
591         0.04         38.8       453.66       21.793       453.66       21.793   1.1664e-06            0            0
592         0.04        38.84       454.54       21.814       454.54       21.814   1.1693e-06            0            0
593         0.04        38.88       455.41       21.834       455.41       21.834   1.1721e-06            0            0
594         0.04        38.92       456.28       21.855       456.28       21.855    1.175e-06            0            0
595         0.04        38.96       457.16       21.875       457.16       21.875   1.1778e-06            0            0
596         0.04           39       458.03       21.896       458.03       21.896   1.1807e-06            0            0
597         0.04        39.04       458.91       21.916       458.91       21.916   1.1836e-06            0            0
598         0.04        39.08       459.79       21.937       459.79       21.937   1.1865e-06            0            0
599         0.04        39.12       460.66       21.957       460.66       21.957   1.1894e-06            0            0
600         0.04        39.16       461.54       21.977       461.54       21.977   1.1923e-06            0            0
601         0.04         39.2       462.42       21.998       462.42       21.998   1.1952e-06            0            0
602         0.04        39.24        463.3       22.018        463.3       22.018   1.1981e-06            0            0
603         0.04        39.28       464.18       22.039       464.18       22.039    1.201e-06            0            0
604         0.04        39.32       465.06       22.059       465.06       22.059   1.2039e-06            0            0
605         0.04        39.36       465.95        22.08       465.95        22.08   1.2069e-06            0            0
606         0.04         39.4       466.83         22.1       466.83         22.1   1.2098e-06            0            0
607         0.04        39.44       467.72       22.121       467.72       22.121   1.2128e-06            0            0
608         0.04        39.48        468.6       22.141        468.6       22.141   1.2157e-06            0            0
609         0.04        39.52       469.49       22.162       469.49       22.162   1.2187e-06            0            0
610         0.04        39.56       470.37       22.182       470.37       22.182   1.2217e-06            0            0
611         0.04         39.6       471.26       22.203       471.26       22.203   1.2246e-06            0            0
612         0.04        39.64       472.15       22.223       472.15       22.223   1.2276e-06            0            0
613         0.04        39.68       473.04       22.243       473.04       22.243   1.2306e-06            0            0
614         0.04        39.72       473.93       22.264       473.93       22.264   1.2336e-06            0            0
615         0.04        39.76       474.82       22.284       474.82       22.284   1.2366e-06            0            0
616         0.04         39.8       475.71       22.305       475.71       22.305   1.2397e-06            0            0
617         0.04        39.84        476.6       22.325        476.6       22.325   1.2427e-06            0            0
618         0.04        39.88        477.5       22.346        477.5       22.346   1.2457e-06            0            0
619         0.04        39.92       478.39       22.366       478.39       22.366   1.2488e-06            0            0
620         0.04        39.96       479.29       22.387       479.29       22.387   1.2518e-06            0            0
621         0.04           40       480.18       22.407       480.18       22.407   1.2549e-06            0            0
622         0.04        40.04       481.08       22.428       481.08       22.428    1.258e-06            0            0
623         0.04        40.08       481.98       22.448       481.98       22.448   1.2611e-06            0            0
624         0.04        40.12       482.88       22.468       482.88       22.468   1.2641e-06            0            0
625         0.04        40.16       483.78       22.489       483.78       22.489   1.2672e-06            0            0
626         0.04         40.2       484.68       22.509       484.68       22.509   1.2703e-06            0            0
627         0.04        40.24       485.58        22.53       485.58        22.53   1.2735e-06            0            0
628         0.04        40.28       486.48        22.55       486.48        22.55   1.2766e-06            0            0
629         0.04        40.32       487.38       22.571       487.38       22.571   1.2797e-06            0            0
630         0.04        40.36       488.28       22.591       488.28       22.591   1.2828e-06            0            0
631         0.04         40.4       489.19       22.612       489.19       22.612    1.286e-06            0            0
632         0.04        40.44       490.09       22.632       490.09       22.632   1.2891e-06            0            0
633         0.04        40.48          491       22.653          491       22.653   1.2923e-06            0            0
634         0.04        40.52        491.9       22.673        491.9       22.673   1.2955e-06            0            0
635         0.04        40.56       492.81       22.693       492.81       22.693   1.2987e-06            0            0
636         0.04         40.6       493.72       22.714       493.72       22.714   1.3019e-06            0            0
637         0.04        40.64       494.63       22.734       494.63       22.734   1.3051e-06            0            0
638         0.04        40.68       495.54       22.755       495.54       22.755   1.3083e-06            0            0
639         0.04        40.72       496.45       22.775       496.45       22.775   1.3115e-06            0            0
640         0.04        40.76       497.36       22.796       497.36       22.796   1.3147e-06            0            0
641         0.04         40.8       498.27       22.816       498.27       22.816   1.3179e-06            0            0
642         0.04        40.84       499.19       22.837       499.19       22.837   1.3212e-06            0            0
643         0.04        40.88        500.1       22.857        500.1       22.857   1.3244e-06            0            0
644         0.04        40.92       501.01       22.878       501.01       22.878   1.3277e-06            0            0
645         0.04        40.96       501.93       22.898       501.93       22.898    1.331e-06            0            0
646         0.04           41       502.85       22.918       502.85       22.918   1.3343e-06            0            0
647         0.04        41.04       503.76       22.939       503.76       22.939   1.3375e-06            0            0
648         0.04        41.08       504.68       22.959       504.68       22.959   1.3408e-06            0            0
649         0.04        41.12        505.6        22.98        505.6        22.98   1.3442e-06            0            0
650         0.04        41.16       506.52           23       506.52           23   1.3475e-06            0            0
651         0.04         41.2       507.44       23.021       507.44       23.021   1.3508e-06            0            0
652         0.04        41.24       508.36       23.041       508.36       23.041   1.3541e-06            0            0
653         0.04        41.28       509.28       23.062       509.28       23.062   1.3575e-06            0            0
654         0.04        41.32       510.21       23.082       510.21       23.082   1.3608e-06            0            0
655         0.04        41.36       511.13       23.102       511.13       23.102   1.3642e-06            0            0
656         0.04         41.4       512.05       23.123       512.05       23.123   1.3676e-06            0            0
657         0.04        41.44       512.98       23.143       512.98       23.143    1.371e-06            0            0
658         0.04        41.48       513.91       23.164       513.91       23.164   1.3744e-06            0            0
659         0.04        41.52       514.83       23.184       514.83       23.184   1.3778e-06            0            0
660         0.04        41.56       515.76       23.205       515.76       23.205   1.3812e-06            0            0
661         0.04         41.6       516.69       23.225       516.69       23.225   1.3846e-06            0            0
662         0.04        41.64       517.62       23.245       517.62       23.246   1.3881e-06            0            0
663         0.04        41.68       518.55       23.266       518.55       23.266   1.3915e-06            0            0
664         0.04        41.72       519.48       23.286       519.48       23.286    1.395e-06            0            0
665         0.04        41.76       520.41       23.307       520.41       23.307   1.3984e-06            0            0
666         0.04         41.8       521.34       23.327       521.34       23.327   1.4019e-06            0            0
667         0.04        41.84       522.28       23.348       522.28       23.348   1.4054e-06            0            0
668         0.04        41.88       523.21       23.368       523.21       23.368   1.4089e-06            0            0
669         0.04        41.92       524.15       23.389       524.15       23.389   1.4124e-06            0            0
670         0.04        41.96       525.08       23.409       525.08       23.409   1.4159e-06            0            0
671         0.04           42       526.02       23.429       526.02       23.429   1.4194e-06            0            0
672         0.04        42.04       526.96        23.45       526.96        23.45    1.423e-06            0            0
673         0.04        42.08        527.9        23.47        527.9        23.47   1.4265e-06            0            0
674         0.04        42.12       528.84       23.491       528.84       23.491   1.4301e-06            0            0
675         0.04        42.16       529.78       23.511       529.78       23.511   1.4336e-06            0            0
676         0.04         42.2       530.72       23.532       530.72       23.532   1.4372e-06            0            0
677         0.04        42.24       531.66       23.552       531.66       23.552   1.4408e-06            0            0
678         0.04        42.28        532.6       23.572        532.6       23.572   1.4444e-06            0            0
679         0.04        42.32       533.54       23.593       533.54       23.593    1.448e-06            0            0
680         0.04        42.36       534.49       23.613       534.49       23.613   1.4517e-06            0            0
681         0.04         42.4       535.43       23.634       535.43       23.634   1.4553e-06            0            0
682         0.04        42.44       536.38       23.654       536.38       23.654   1.4589e-06            0            0
683         0.04        42.48       537.33       23.675       537.33       23.675   1.4626e-06            0            0
684         0.04        42.52       538.27       23.695       538.27       23.695   1.4663e-06            0            0
685         0.04        42.56       539.22       23.716       539.22       23.716   1.4699e-06            0            0
686         0.04         42.6       540.17       23.736       540.17       23.736   1.4736e-06            0            0
687         0.04        42.64       541.12       23.756       541.12       23.756   1.4773e-06            0            0
688         0.04        42.68       542.07       23.777       542.07       23.777   1.4811e-06            0            0
689         0.04        42.72       543.02       23.797       543.02       23.797   1.4848e-06            0            0
690         0.04        42.76       543.97       23.818       543.97       23.818   1.4885e-06            0            0
691         0.04         42.8       544.93       23.838       544.93       23.838   1.4923e-06            0            0
692         0.04        42.84       545.88       23.859       545.88       23.859    1.496e-06            0            0
693         0.04        42.88       546.84       23.879       546.84       23.879   1.4998e-06            0            0
694         0.04        42.92       547.79       23.899       547.79       23.899   1.5036e-06            0            0
695         0.04        42.96       548.75        23.92       548.75        23.92   1.5074e-06            0            0
696         0.04           43       549.71        23.94       549.71        23.94   1.5112e-06            0            0
697         0.04        43.04       550.66       23.961       550.66       23.961    1.515e-06            0            0
698         0.04        43.08       551.62       23.981       551.62       23.981   1.5188e-06            0            0
699         0.04        43.12       552.58       24.002       552.58       24.002   1.5227e-06            0            0
700         0.04        43.16       553.54       24.022       553.54       24.022   1.5265e-06            0            0
